EventType,ActionTime,FromDeme.FromHost,ToDeme.ToHost
DEATH,1.19923944581003,House3863-7724-MALE,House3863-7724-MALE
DEATH,1.21133694628535,House163-325-FEMALE,House163-325-FEMALE
BIRTH,1.23660129706323,House397-793-FEMALE,House397-8204-MALE
DEATH,1.25145812194335,House352-703-FEMALE,House352-703-FEMALE
DEATH,1.25910728398124,House3266-6530-MALE,House3266-6530-MALE
DEATH,1.26440134496151,House1462-2923-FEMALE,House1462-2923-FEMALE
BIRTH,1.28762296050047,House1287-2572-MALE,House1287-8205-FEMALE
DEATH,1.28923725528007,House1150-2299-FEMALE,House1150-2299-FEMALE
DEATH,1.29573655146483,House2673-5345-FEMALE,House2673-5345-FEMALE
DEATH,1.30575192213063,House1362-2722-MALE,House1362-2722-MALE
DEATH,1.31508857897679,House2197-4393-FEMALE,House2197-4393-FEMALE
DEATH,1.32210426891674,House2729-5457-FEMALE,House2729-5457-FEMALE
DEATH,1.32452568748324,House1950-3899-FEMALE,House1950-3899-FEMALE
DEATH,1.32656174338382,House2985-5968-MALE,House2985-5968-MALE
DEATH,1.34017378473909,House3998-7994-MALE,House3998-7994-MALE
DEATH,1.34513162420882,House588-1175-FEMALE,House588-1175-FEMALE
DEATH,1.36432567580835,House3692-7382-MALE,House3692-7382-MALE
DEATH,1.36803218952551,House2670-5338-MALE,House2670-5338-MALE
DEATH,1.37149812090252,House3307-6613-FEMALE,House3307-6613-FEMALE
DEATH,1.37529753015844,House689-1376-MALE,House689-1376-MALE
DEATH,1.38557367621406,House3178-6354-MALE,House3178-6354-MALE
DEATH,1.42902205763416,House650-1299-FEMALE,House650-1299-FEMALE
DEATH,1.43684452802029,House3725-7449-FEMALE,House3725-7449-FEMALE
DEATH,1.4390988305413,House2050-4098-MALE,House2050-4098-MALE
DEATH,1.45003031599841,House2398-4795-FEMALE,House2398-4795-FEMALE
DEATH,1.45557686627651,House1155-2309-FEMALE,House1155-2309-FEMALE
DEATH,1.47282883614716,House3645-7289-FEMALE,House3645-7289-FEMALE
BIRTH,1.48816324671214,House3949-7897-FEMALE,House3949-8206-MALE
DEATH,1.51736362581888,House289-577-FEMALE,House289-577-FEMALE
DEATH,1.51792865047187,House2143-4285-FEMALE,House2143-4285-FEMALE
DEATH,1.52162725347909,House3415-6828-MALE,House3415-6828-MALE
DEATH,1.54309699392356,House2975-5948-MALE,House2975-5948-MALE
DEATH,1.56740550718412,House2620-5239-FEMALE,House2620-5239-FEMALE
DEATH,1.56872417217381,House2013-4025-FEMALE,House2013-4025-FEMALE
DEATH,1.57042656877967,House658-1315-FEMALE,House658-1315-FEMALE
DEATH,1.59280983672745,House299-597-FEMALE,House299-597-FEMALE
DEATH,1.60382269840038,House320-638-MALE,House320-638-MALE
DEATH,1.60588047965625,House3445-6889-FEMALE,House3445-6889-FEMALE
DEATH,1.61660384139357,House1328-2655-FEMALE,House1328-2655-FEMALE
DEATH,1.61771191118211,House536-1070-MALE,House536-1070-MALE
DEATH,1.6277960937546,House3609-7217-FEMALE,House3609-7217-FEMALE
DEATH,1.63739081239266,House1189-2376-MALE,House1189-2376-MALE
DEATH,1.63860224095942,House1551-3101-FEMALE,House1551-3101-FEMALE
DEATH,1.64673639513721,House1963-3924-MALE,House1963-3924-MALE
INFECTION,1.64678753061469,House1033-2064-MALE,House1132-2263-FEMALE
BIRTH,1.6669975728361,House2072-4143-FEMALE,House2072-8207-MALE
DEATH,1.66811499637627,House2370-4738-MALE,House2370-4738-MALE
BIRTH,1.67164960696198,House88-174-MALE,House88-8208-FEMALE
DEATH,1.67768609298487,House156-311-FEMALE,House156-311-FEMALE
DEATH,1.70384370181464,House3396-6791-FEMALE,House3396-6791-FEMALE
DEATH,1.71812282194065,House112-223-FEMALE,House112-223-FEMALE
DEATH,1.72211601130146,House138-274-MALE,House138-274-MALE
DEATH,1.7257080286808,House658-1314-MALE,House658-1314-MALE
DEATH,1.72573127697166,House2862-5723-FEMALE,House2862-5723-FEMALE
DEATH,1.72607166530554,House43-84-MALE,House43-84-MALE
DEATH,1.72627089427595,House2063-4124-MALE,House2063-4124-MALE
DEATH,1.72842242540753,House3939-7877-FEMALE,House3939-7877-FEMALE
DEATH,1.72848247249998,House402-803-FEMALE,House402-803-FEMALE
DEATH,1.73303623423103,House434-866-MALE,House434-866-MALE
DEATH,1.73384643414598,House1814-3627-FEMALE,House1814-3627-FEMALE
DEATH,1.74156875276421,House1589-3176-MALE,House1589-3176-MALE
DEATH,1.77894758575328,House3319-6637-FEMALE,House3319-6637-FEMALE
DEATH,1.78385087571432,House1869-3737-FEMALE,House1869-3737-FEMALE
DEATH,1.80891778303113,House3989-7977-FEMALE,House3989-7977-FEMALE
DEATH,1.81381697984076,House3059-6117-FEMALE,House3059-6117-FEMALE
BIRTH,1.83039231397774,House1553-3105-FEMALE,House1553-8209-MALE
DEATH,1.83319322696286,House2358-4714-MALE,House2358-4714-MALE
DEATH,1.8456283587114,House1550-3099-FEMALE,House1550-3099-FEMALE
BIRTH,1.84893574166742,House15-29-FEMALE,House15-8210-MALE
DEATH,1.86757230101768,House3947-7893-FEMALE,House3947-7893-FEMALE
DEATH,1.86940217831934,House3525-7049-FEMALE,House3525-7049-FEMALE
DEATH,1.88748631053706,House473-945-FEMALE,House473-945-FEMALE
DEATH,1.88943996057916,House1560-3118-MALE,House1560-3118-MALE
DEATH,1.90920654328895,House3928-7855-FEMALE,House3928-7855-FEMALE
DEATH,1.91022212824017,House3284-6566-MALE,House3284-6566-MALE
BIRTH,1.91347098125529,House299-596-MALE,House299-8211-FEMALE
DEATH,1.91479581089598,House2139-4276-MALE,House2139-4276-MALE
DEATH,1.91826506643218,House1861-3721-FEMALE,House1861-3721-FEMALE
DEATH,1.92282479940462,House3578-7155-FEMALE,House3578-7155-FEMALE
DEATH,1.93063040586238,House1610-3218-MALE,House1610-3218-MALE
DEATH,1.93660375689956,House2115-4229-FEMALE,House2115-4229-FEMALE
DEATH,1.94619908641657,House1038-2074-MALE,House1038-2074-MALE
DEATH,1.95570035249411,House3605-7209-FEMALE,House3605-7209-FEMALE
DEATH,1.9697215677579,House1465-2929-FEMALE,House1465-2929-FEMALE
DEATH,1.97291771560587,House3194-6386-MALE,House3194-6386-MALE
DEATH,1.9736850624394,House1134-2266-MALE,House1134-2266-MALE
BIRTH,1.98519097604473,House3863-7725-FEMALE,House3863-8212-MALE
BIRTH,1.98981002197853,House3396-6790-MALE,House3396-8213-FEMALE
DEATH,1.99436318559547,House1512-3023-FEMALE,House1512-3023-FEMALE
DEATH,1.99822076136153,House2644-5286-MALE,House2644-5286-MALE
DEATH,2.00279592041579,House2615-5228-MALE,House2615-5228-MALE
DEATH,2.04398737821665,House615-1228-MALE,House615-1228-MALE
DEATH,2.05742212868789,House634-1266-MALE,House634-1266-MALE
BIRTH,2.05912646852606,House3725-7448-MALE,House3725-8214-FEMALE
BIRTH,2.06993548838999,House2398-4794-MALE,House2398-8215-FEMALE
DEATH,2.09668199976031,House3523-7044-MALE,House3523-7044-MALE
DEATH,2.09930331248252,House1944-3887-FEMALE,House1944-3887-FEMALE
DEATH,2.10119749189824,House1482-2962-MALE,House1482-2962-MALE
DEATH,2.10266376584076,House3551-7100-MALE,House3551-7100-MALE
DEATH,2.10503248614851,House272-543-FEMALE,House272-543-FEMALE
DEATH,2.11524619104972,House258-514-MALE,House258-514-MALE
DEATH,2.12215304764773,House406-811-FEMALE,House406-811-FEMALE
DEATH,2.12956544952668,House3490-6979-FEMALE,House3490-6979-FEMALE
DEATH,2.1339391354731,House2492-4982-MALE,House2492-4982-MALE
DEATH,2.1419166255732,House2799-5596-MALE,House2799-5596-MALE
DEATH,2.1531410154399,House861-1720-MALE,House861-1720-MALE
DEATH,2.15443085223193,House2390-4779-FEMALE,House2390-4779-FEMALE
BIRTH,2.16719415738146,House2618-5235-FEMALE,House2618-8216-MALE
DEATH,2.17592507847381,House21-41-FEMALE,House21-41-FEMALE
BIRTH,2.19178882952438,House473-944-MALE,House473-8217-FEMALE
DEATH,2.19270546416258,House4001-8075-FEMALE,House4001-8075-FEMALE
DEATH,2.20131052277764,House3517-7033-FEMALE,House3517-7033-FEMALE
DEATH,2.2133612364832,House2995-5988-MALE,House2995-5988-MALE
DEATH,2.2295004824971,House3088-6175-FEMALE,House3088-6175-FEMALE
BIRTH,2.23535656282526,House2530-5058-MALE,House2530-8218-FEMALE
INFECTION,2.24032134596793,House4001-8000-FEMALE,House2601-5200-MALE
DEATH,2.26809053175412,House626-1251-FEMALE,House626-1251-FEMALE
DEATH,2.27047744138808,House2088-4175-FEMALE,House2088-4175-FEMALE
BIRTH,2.27391373508274,House3194-6387-FEMALE,House3194-8219-MALE
DEATH,2.28775616837884,House881-1760-MALE,House881-1760-MALE
BIRTH,2.29855473346104,House2670-5339-FEMALE,House2670-8220-MALE
DEATH,2.30016560678166,House2765-5529-FEMALE,House2765-5529-FEMALE
DEATH,2.30237023790877,House2746-5491-FEMALE,House2746-5491-FEMALE
BIRTH,2.32264896327774,House3551-7101-FEMALE,House3551-8221-MALE
DEATH,2.34143436570347,House578-1154-MALE,House578-1154-MALE
BIRTH,2.35061263400825,House1814-3626-MALE,House1814-8222-FEMALE
DEATH,2.36613395718945,House2811-5621-FEMALE,House2811-5621-FEMALE
DEATH,2.36789881888232,House1036-2070-MALE,House1036-2070-MALE
DEATH,2.40030122713992,House1895-3789-FEMALE,House1895-3789-FEMALE
DEATH,2.4024974683732,House2901-5801-FEMALE,House2901-5801-FEMALE
DEATH,2.42270125626691,House3495-6989-FEMALE,House3495-6989-FEMALE
DEATH,2.42556369400015,House2317-4632-MALE,House2317-4632-MALE
DEATH,2.42595829689095,House1308-2615-FEMALE,House1308-2615-FEMALE
BIRTH,2.42815457681209,House2573-5145-FEMALE,House2573-8223-MALE
BIRTH,2.4408572340878,House2985-5969-FEMALE,House2985-8224-MALE
DEATH,2.44300181339177,House2560-5119-FEMALE,House2560-5119-FEMALE
BIRTH,2.4563617349933,House945-1888-MALE,House945-8225-FEMALE
DEATH,2.45836419778497,House1140-2279-FEMALE,House1140-2279-FEMALE
DEATH,2.46076902573522,House3062-6122-MALE,House3062-6122-MALE
DEATH,2.46504255241468,House2784-5567-FEMALE,House2784-5567-FEMALE
DEATH,2.47252144254191,House3274-6547-FEMALE,House3274-6547-FEMALE
DEATH,2.47997848299872,House1418-2834-MALE,House1418-2834-MALE
DEATH,2.48892974873788,House661-1321-FEMALE,House661-1321-FEMALE
DEATH,2.50269577941444,House3273-6544-MALE,House3273-6544-MALE
INFECTION,2.51442202928404,House1516-3030-MALE,House2955-5909-FEMALE
DEATH,2.52276900222613,House549-1096-MALE,House549-1096-MALE
DEATH,2.52860457334937,House2116-4231-FEMALE,House2116-4231-FEMALE
DEATH,2.53254110652172,House744-1487-FEMALE,House744-1487-FEMALE
BIRTH,2.53719025577528,House1189-2377-FEMALE,House1189-8226-MALE
DEATH,2.54065681976094,House2377-4753-FEMALE,House2377-4753-FEMALE
DEATH,2.56554567543719,House3381-6761-FEMALE,House3381-6761-FEMALE
DEATH,2.59299360983047,House3614-7226-MALE,House3614-7226-MALE
BIRTH,2.59725932481049,House289-576-MALE,House289-8227-FEMALE
DEATH,2.60661299880383,House2599-5196-MALE,House2599-5196-MALE
BIRTH,2.6089822487347,House765-1528-MALE,House765-8228-FEMALE
BIRTH,2.62005398214959,House744-1486-MALE,House744-8229-FEMALE
DEATH,2.63699761866197,House3067-6133-FEMALE,House3067-6133-FEMALE
DEATH,2.65599825031147,House3283-6565-FEMALE,House3283-6565-FEMALE
DEATH,2.66175589593094,House1020-2039-FEMALE,House1020-2039-FEMALE
DEATH,2.69130119297295,House3724-7446-MALE,House3724-7446-MALE
BIRTH,2.6922698868078,House2180-4358-MALE,House2180-8230-FEMALE
DEATH,2.69644053741289,House3134-6266-MALE,House3134-6266-MALE
DEATH,2.70249896496987,House1833-3664-MALE,House1833-3664-MALE
DEATH,2.70997293902948,House1571-3140-MALE,House1571-3140-MALE
DEATH,2.72616069885254,House251-500-MALE,House251-500-MALE
DEATH,2.73115429502327,House344-686-MALE,House344-686-MALE
DEATH,2.73496921600255,House3132-6263-FEMALE,House3132-6263-FEMALE
DEATH,2.75730565231038,House793-1584-MALE,House793-1584-MALE
DEATH,2.76373988814603,House4001-8080-FEMALE,House4001-8080-FEMALE
DEATH,2.76563998053683,House2412-4822-MALE,House2412-4822-MALE
DEATH,2.77386339075792,House23-45-FEMALE,House23-45-FEMALE
DEATH,2.7958161320696,House931-1860-MALE,House931-1860-MALE
DEATH,2.83569413549214,House2090-4179-FEMALE,House2090-4179-FEMALE
DEATH,2.83774240803698,House3998-7995-FEMALE,House3998-7995-FEMALE
DEATH,2.83932015259967,House938-1874-MALE,House938-1874-MALE
BIRTH,2.84078003499731,House3523-7045-FEMALE,House3523-8231-MALE
BIRTH,2.84611486076366,House3697-7392-MALE,House3697-8232-FEMALE
DEATH,2.84847949160797,House413-825-FEMALE,House413-825-FEMALE
DEATH,2.8544182626037,House1147-2293-FEMALE,House1147-2293-FEMALE
DEATH,2.86498679263838,House413-824-MALE,House413-824-MALE
DEATH,2.87657506148379,House1905-3809-FEMALE,House1905-3809-FEMALE
INFECTION,2.87851116414755,House1516-3030-MALE,House4001-8081-FEMALE
BIRTH,2.8809522629391,House3998-9223372036854775807,House3998-8233-MALE
DEATH,2.91188635487892,House3098-6194-MALE,House3098-6194-MALE
DEATH,2.92432284949721,House2443-4885-FEMALE,House2443-4885-FEMALE
BIRTH,2.93184735553626,House683-1364-MALE,House683-8234-FEMALE
DEATH,2.94011537255048,House1961-3921-FEMALE,House1961-3921-FEMALE
DEATH,2.95546471596963,House1051-2101-FEMALE,House1051-2101-FEMALE
DEATH,2.96091312679087,House176-351-FEMALE,House176-351-FEMALE
DEATH,2.9635124945267,House517-1033-FEMALE,House517-1033-FEMALE
DEATH,2.98038810503714,House3970-7938-MALE,House3970-7938-MALE
DEATH,2.98358838383979,House2416-4831-FEMALE,House2416-4831-FEMALE
BIRTH,2.98766451087972,House3284-6567-FEMALE,House3284-8235-MALE
DEATH,2.98883294278144,House1211-2421-FEMALE,House1211-2421-FEMALE
DEATH,2.99229117049301,House2890-5779-FEMALE,House2890-5779-FEMALE
DEATH,3.01336810886269,House3975-7949-FEMALE,House3975-7949-FEMALE
DEATH,3.02787103788397,House2941-5881-FEMALE,House2941-5881-FEMALE
DEATH,3.03008269902865,House2798-5594-MALE,House2798-5594-MALE
DEATH,3.03398259302256,House1139-2276-MALE,House1139-2276-MALE
BIRTH,3.04235078516443,House2199-4396-MALE,House2199-8236-FEMALE
DEATH,3.05022281950793,House1136-2271-FEMALE,House1136-2271-FEMALE
DEATH,3.0583360657334,House1092-2183-FEMALE,House1092-2183-FEMALE
DEATH,3.05858525151066,House1103-2204-MALE,House1103-2204-MALE
DEATH,3.06734464883877,House622-1242-MALE,House622-1242-MALE
BIRTH,3.0826790813753,House1037-2073-FEMALE,House1037-8237-MALE
INFECTION,3.08426113994266,House2601-5200-MALE,House2601-5201-FEMALE
DEATH,3.09039809154677,House449-897-FEMALE,House449-897-FEMALE
DEATH,3.10726565141205,House3296-6591-FEMALE,House3296-6591-FEMALE
DEATH,3.10743310137727,House3891-7780-MALE,House3891-7780-MALE
DEATH,3.10906639239265,House1904-3806-MALE,House1904-3806-MALE
DEATH,3.11299373468891,House2841-5681-FEMALE,House2841-5681-FEMALE
BIRTH,3.11471932093491,House1185-2368-MALE,House1185-8238-FEMALE
DEATH,3.13519093201204,House352-702-MALE,House352-702-MALE
DEATH,3.13577011945339,House3217-6432-MALE,House3217-6432-MALE
DEATH,3.14413049637976,House3408-6815-FEMALE,House3408-6815-FEMALE
DEATH,3.14588506808598,House2910-5819-FEMALE,House2910-5819-FEMALE
INFECTION,3.15017358524702,House4001-8000-FEMALE,House1002-2002-MALE
BIRTH,3.15646135829439,House3975-7948-MALE,House3975-8239-FEMALE
DEATH,3.16087474717967,House3514-7026-MALE,House3514-7026-MALE
BIRTH,3.16411153197267,House2746-5490-MALE,House2746-8240-FEMALE
DEATH,3.19274146427793,House3300-6598-MALE,House3300-6598-MALE
DEATH,3.24713253075425,House2761-5520-MALE,House2761-5520-MALE
DEATH,3.27831843814114,House121-241-FEMALE,House121-241-FEMALE
DEATH,3.29102690745931,House71-141-FEMALE,House71-141-FEMALE
INFECTION,3.29732532457347,House4001-8081-FEMALE,House1869-3736-MALE
DEATH,3.29899566852788,House2601-5201-FEMALE,House2601-5201-FEMALE
DEATH,3.31548240634483,House519-1037-FEMALE,House519-1037-FEMALE
BIRTH,3.33147423522831,House2068-4135-FEMALE,House2068-8241-MALE
DEATH,3.3393427905647,House370-738-MALE,House370-738-MALE
DEATH,3.36135235239613,House172-343-FEMALE,House172-343-FEMALE
INFECTION,3.36411156234456,House4001-8081-FEMALE,House427-852-MALE
BIRTH,3.38536645598986,House1020-2038-MALE,House1020-8242-FEMALE
DEATH,3.40770879478026,House2254-4507-FEMALE,House2254-4507-FEMALE
BIRTH,3.41160913004436,House370-739-FEMALE,House370-8243-MALE
INFECTION,3.43645174740107,House4001-8000-FEMALE,House81-160-MALE
DEATH,3.4438649270899,House3930-7858-MALE,House3930-7858-MALE
DEATH,3.45497473065621,House2245-4488-MALE,House2245-4488-MALE
DEATH,3.45805795860919,House2097-4192-MALE,House2097-4192-MALE
DEATH,3.46416760680989,House3128-6255-FEMALE,House3128-6255-FEMALE
DEATH,3.47778590379461,House3186-6371-FEMALE,House3186-6371-FEMALE
DEATH,3.47971516495536,House1344-2687-FEMALE,House1344-2687-FEMALE
DEATH,3.48171045794463,House3917-7832-MALE,House3917-7832-MALE
BIRTH,3.48881970946405,House251-501-FEMALE,House251-8244-MALE
DEATH,3.49196232607244,House47-93-FEMALE,House47-93-FEMALE
DEATH,3.49284926064836,House360-718-MALE,House360-718-MALE
BIRTH,3.50231216499703,House2761-5521-FEMALE,House2761-8245-MALE
DEATH,3.50337033426817,House3578-7154-MALE,House3578-7154-MALE
DEATH,3.51229248642826,House2853-5705-FEMALE,House2853-5705-FEMALE
BIRTH,3.51506465680711,House881-1761-FEMALE,House881-8246-MALE
BIRTH,3.52706837555504,House172-9223372036854775807,House172-8247-MALE
DEATH,3.53860903839898,House2197-4392-MALE,House2197-4392-MALE
DEATH,3.53972363137634,House1739-3476-MALE,House1739-3476-MALE
DEATH,3.54678819730256,House893-1785-FEMALE,House893-1785-FEMALE
DEATH,3.5524033977968,House929-1856-MALE,House929-1856-MALE
DEATH,3.56011566151736,House1642-3283-FEMALE,House1642-3283-FEMALE
BIRTH,3.58455635721065,House861-1721-FEMALE,House861-8248-MALE
DEATH,3.59632685890855,House1419-2836-MALE,House1419-2836-MALE
BIRTH,3.59726331106636,House3917-7833-FEMALE,House3917-8249-MALE
DEATH,3.60406291917115,House3658-7314-MALE,House3658-7314-MALE
BIRTH,3.61040480069028,House2412-4823-FEMALE,House2412-8250-MALE
BIRTH,3.61065517910191,House1155-2308-MALE,House1155-8251-FEMALE
DEATH,3.61612060825553,House1489-2976-MALE,House1489-2976-MALE
DEATH,3.62695904193173,House490-978-MALE,House490-978-MALE
DEATH,3.63678568495582,House2474-4946-MALE,House2474-4946-MALE
DEATH,3.6520305682753,House2395-4788-MALE,House2395-4788-MALE
BIRTH,3.65726127913496,House1779-3556-MALE,House1779-8252-FEMALE
DEATH,3.66182850467213,House448-895-FEMALE,House448-895-FEMALE
INFECTION,3.66400060072042,House4001-8081-FEMALE,House5-8-MALE
BIRTH,3.66589296570794,House3269-6536-MALE,House3269-8253-FEMALE
DEATH,3.68460703577966,House1781-3560-MALE,House1781-3560-MALE
DEATH,3.71008606232211,House3424-6847-FEMALE,House3424-6847-FEMALE
DEATH,3.71211306015023,House286-571-FEMALE,House286-571-FEMALE
DEATH,3.740216806841,House2823-5644-MALE,House2823-5644-MALE
BIRTH,3.74753118441416,House689-1377-FEMALE,House689-8254-MALE
DEATH,3.76461315710035,House442-883-FEMALE,House442-883-FEMALE
BIRTH,3.78219314317203,House2369-4736-MALE,House2369-8255-FEMALE
DEATH,3.80063937194743,House2034-4066-MALE,House2034-4066-MALE
BIRTH,3.80942764886107,House1950-3898-MALE,House1950-8256-FEMALE
DEATH,3.81307708076876,House458-914-MALE,House458-914-MALE
DEATH,3.8184902456739,House4001-8088-FEMALE,House4001-8088-FEMALE
BIRTH,3.86053968929755,House3364-6726-MALE,House3364-8257-FEMALE
DEATH,3.86833504008482,House3035-6069-FEMALE,House3035-6069-FEMALE
DEATH,3.87157594509713,House686-1370-MALE,House686-1370-MALE
DEATH,3.88112980396845,House1953-3904-MALE,House1953-3904-MALE
DEATH,3.88333328034255,House3504-7007-FEMALE,House3504-7007-FEMALE
DEATH,3.89044372606203,House3391-6780-MALE,House3391-6780-MALE
BIRTH,3.90603625949132,House3445-6888-MALE,House3445-8258-FEMALE
DEATH,3.92252578546563,House3192-6382-MALE,House3192-6382-MALE
DEATH,3.93765414667628,House2279-4556-MALE,House2279-4556-MALE
DEATH,3.93835918127725,House2623-5244-MALE,House2623-5244-MALE
DEATH,3.95954040437661,House672-1343-FEMALE,House672-1343-FEMALE
DEATH,3.96385190832257,House2737-5473-FEMALE,House2737-5473-FEMALE
DEATH,3.970299065667,House1691-3380-MALE,House1691-3380-MALE
SAMPLING,3.97088234873072,House4001-8000-FEMALE,House4001-8000-FEMALE
DEATH,3.97393577828882,House2108-4214-MALE,House2108-4214-MALE
