EventType,ActionTime,FromDeme.FromHost,ToDeme.ToHost
INFECTION,0,NA,House4001-8000-FEMALE
INFECTION,0.00795395786743639,House4001-8000-FEMALE,House1033-2064-MALE
INFECTION,0.116603376103689,House4001-8000-FEMALE,House877-1752-MALE
INFECTION,0.1938831998223,House4001-8000-FEMALE,House1516-3030-MALE
INFECTION,1.64678753061469,House1033-2064-MALE,House1132-2263-FEMALE
INFECTION,2.24032134596793,House4001-8000-FEMALE,House2601-5200-MALE
INFECTION,2.51442202928404,House1516-3030-MALE,House2955-5909-FEMALE
INFECTION,2.87851116414755,House1516-3030-MALE,House4001-8081-FEMALE
INFECTION,3.08426113994266,House2601-5200-MALE,House2601-5201-FEMALE
INFECTION,3.15017358524702,House4001-8000-FEMALE,House1002-2002-MALE
INFECTION,3.29732532457347,House4001-8081-FEMALE,House1869-3736-MALE
INFECTION,3.36411156234456,House4001-8081-FEMALE,House427-852-MALE
INFECTION,3.43645174740107,House4001-8000-FEMALE,House81-160-MALE
INFECTION,3.66400060072042,House4001-8081-FEMALE,House5-8-MALE
SAMPLING,3.97088234873072,House4001-8000-FEMALE,House4001-8000-FEMALE
SAMPLING,4.53296760628633,House1516-3030-MALE,House1516-3030-MALE
INFECTION,4.82519772724892,House427-852-MALE,House140-279-FEMALE
INFECTION,5.15983205230349,House4001-8081-FEMALE,House642-1282-MALE
INFECTION,5.34079051353526,House5-8-MALE,House10-19-FEMALE
SAMPLING,5.61917824479499,House1033-2064-MALE,House1033-2064-MALE
INFECTION,5.7377463075604,House4001-8081-FEMALE,House3639-7276-MALE
INFECTION,6.21622100910579,House3639-7276-MALE,House3639-7277-FEMALE
INFECTION,6.42925631284241,House877-1752-MALE,House3577-7153-FEMALE
INFECTION,6.88699108679062,House4001-8081-FEMALE,House1980-3958-MALE
INFECTION,6.92261607594786,House1869-3736-MALE,House1206-2411-FEMALE
INFECTION,7.12765707042172,House81-160-MALE,House4001-8084-FEMALE
INFECTION,7.29209043270884,House1132-2263-FEMALE,House643-1284-MALE
INFECTION,7.35005161049472,House1206-2411-FEMALE,House1206-2410-MALE
INFECTION,7.4566051781686,House4001-8081-FEMALE,House2398-4794-MALE
INFECTION,7.5136282452801,House2601-5200-MALE,House431-861-FEMALE
INFECTION,7.87541453412192,House3577-7153-FEMALE,House3577-7152-MALE
INFECTION,8.00831517423292,House140-279-FEMALE,House2070-4138-MALE
INFECTION,8.19886579747095,House10-19-FEMALE,House10-18-MALE
SAMPLING,8.51863228066523,House877-1752-MALE,House877-1752-MALE
INFECTION,8.61800757709486,House4001-8081-FEMALE,House1144-2286-MALE
INFECTION,8.65929491839048,House4001-8081-FEMALE,House2045-4088-MALE
SAMPLING,8.77436094201213,House1132-2263-FEMALE,House1132-2263-FEMALE
INFECTION,8.89699982179836,House4001-8081-FEMALE,House661-1320-MALE
INFECTION,8.92036240556655,House2601-5200-MALE,House2601-8401-FEMALE
INFECTION,9.09983917919916,House4001-8084-FEMALE,House1885-3768-MALE
INFECTION,9.24316361135863,House4001-8084-FEMALE,House892-1782-MALE
SAMPLING,9.79981294188804,House3639-7277-FEMALE,House3639-7277-FEMALE
INFECTION,9.85194887607392,House10-18-MALE,House2419-4837-FEMALE
INFECTION,9.91703054303354,House4001-8084-FEMALE,House599-1196-MALE
SAMPLING,10.0885329529832,House2601-5200-MALE,House2601-5200-MALE
INFECTION,10.1710784951888,House5-8-MALE,House5-9-FEMALE
INFECTION,10.1772072786558,House599-1196-MALE,House599-1197-FEMALE
INFECTION,10.5322549593601,House1002-2002-MALE,House1002-2003-FEMALE
INFECTION,10.7508886221661,House1869-3736-MALE,House3479-6957-FEMALE
SAMPLING,10.795228083967,House5-8-MALE,House5-8-MALE
INFECTION,10.9597128716248,House643-1284-MALE,House1410-2819-FEMALE
SAMPLING,10.9930262668002,House2955-5909-FEMALE,House2955-5909-FEMALE
INFECTION,11.0746061832106,House1410-2819-FEMALE,House1104-2206-MALE
SAMPLING,11.0759454395881,House1002-2002-MALE,House1002-2002-MALE
INFECTION,11.1241347011143,House431-861-FEMALE,House431-860-MALE
INFECTION,11.135395511135,House2419-4837-FEMALE,House1526-3050-MALE
INFECTION,11.1511447644301,House643-1284-MALE,House643-1285-FEMALE
SAMPLING,11.2719947132357,House1869-3736-MALE,House1869-3736-MALE
INFECTION,11.2903966864379,House4001-8084-FEMALE,House688-1374-MALE
INFECTION,11.4107407340813,House427-852-MALE,House4001-8097-FEMALE
INFECTION,11.573606712435,House4001-8084-FEMALE,House1126-2250-MALE
INFECTION,11.5920714059724,House4001-8097-FEMALE,House3510-7018-MALE
INFECTION,11.7964363274741,House2398-4794-MALE,House2398-8215-FEMALE
INFECTION,12.1814730447189,House1104-2206-MALE,House1104-2207-FEMALE
INFECTION,12.1926299457289,House4001-8097-FEMALE,House1058-2114-MALE
INFECTION,12.2849287681198,House4001-8084-FEMALE,House923-1844-MALE
INFECTION,12.3265979418891,House3479-6957-FEMALE,House3479-6956-MALE
INFECTION,12.3339267602044,House1206-2410-MALE,House4001-8173-FEMALE
SAMPLING,12.4488629573983,House2398-4794-MALE,House2398-4794-MALE
INFECTION,12.4823745270687,House2070-4138-MALE,House2070-4139-FEMALE
